SMB/Brand/Trding,,,,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays
Trading,Online,Standard Display,O2_NaturalSearch1stParty_20150120_20200120_DIS_DRS,,,,,,,,,,,,,,
Trading,Online,Standard Display,O2_OnePlus3T_20170316_20170329_DIS_DRS_GBR_75497_0,,,,,,,,,"2,406","1,477","2,384",0,,
Trading,Online,Standard Display,O2_OnePlus3T_20170331_20170430_DIS_DRS_GBR_75497_0,,,,,,,,,,,,994,"1,847",
Brand,Online,Standard Display,O2_PaidSocialPriority_20161108_20171231_SOC_DRS_GB,0,29,41,64,0,0,29,23,0,56,64,18,0,
Trading,Online,Standard Display,O2_PrecRTG2016_2016-04-06_2017-04-30_DIS_DRS_PREC_,,,"15,825","22,500","21,044","24,642","1,931","2,701","22,965","19,224","14,951","15,285","7,160",
Trading,Online,Standard Display,O2_PrecisionRT2016_20160406_20170430_DIS_DRS_GBR_6,"3,478","26,447","7,774",,,,,,,,,,,
Brand,Online,Standard Display,O2_Priority_2015-05-05_2015-12-31_DIS_DRS_Priority,,,,,,,,,,,,0,0,
Trading,Online,Standard Display,O2_Q1FREESIM2016_20160101_20160330_DIS_DRS_FREESIM,,0,,,,,,,,,,,,
Trading,Online,Standard Display,O2_Q1Simo17_2017-01-01_2017-04-30_DIS_DRS_Q1_GBR_7,,,"2,890","3,315","2,623","4,022","1,931","2,701","1,201","1,658","3,006","15,220","13,096",
Trading,Online,Standard Display,O2_Q1Simo2017_20170101_20170430_DIS_DRS_GBR_72021_,405,"2,816","1,160",,,,,,,,,,,
Trading,Online,Standard Display,O2_Q2PrecRTG16_2016-06-22_2016-12-31_DIS_DRS_PREC_,,,0,0,0,0,0,0,0,0,0,"9,679","4,735",
Trading,Online,Standard Display,O2_Q2PrecisionRTG2016_20160622_20161231_DIS_DRS_GB,"2,120","14,521","4,216",,,,,,,,,,,
Trading,Online,Standard Display,O2_Q3PrecRTG_2016-07-05_2016-12-31_DIS_DRS_PREC_GB,,,0,0,0,0,0,0,0,0,0,,0,
Trading,Online,Standard Display,O2_Q3PrecisionRTG_20160705_20161231_DIS_DRS_GBR_66,"1,561","11,851","2,671",,,,,,,,,,,
Trading,Online,Standard Display,O2_Q3SIMO_2016-06-22_2016-09-30_DIS_DRS_SIMO_GBR_6,,,0,,,,,,,,,,,
Trading,Online,Standard Display,O2_Q3SIMO_20160622_20160930_DIS_DRS_GBR_64784_0607,0,0,0,,,,,,,,,,,
Trading,Online,Standard Display,O2_ReferringSites_20160527_20200120_DIS_DRS_GBR_63,,,,,,,,,,,,,,
SMB,Online,Standard Display,O2_SMB-BE-Memo_20170323_20170504_DIS_DRS_GBR_75946,,,,,,,,,,,,2,4,
SMB,Online,Standard Display,O2_SMBFlagships17_20170217_20170501_DIS_DRS_RTG_74,,,,,,0,"1,931","2,701","2,588","3,381","5,686",0,0,
SMB,Online,Standard Display,O2_SMBJanSale_2016-12-22_2017-01-31_DIS_DRS_GBR_72,,,0,,,,,,,,,,,
SMB,Online,Standard Display,O2_SMBJanSale_20161222_20170131_DIS_DRS_GBR_72143_,300,"1,253",190,,,,,,,,,,,
SMB,Online,Standard Display,O2_SMBSIMOQ117_20170228_20170804_DIS_DRS_RTG_74982,,,,,,,44,48,62,46,86,41,,
Trading,Online,Standard Display,O2_SamsungASeries_20170203_20170228_DIS_DRS_GBR_73,,,"2,354","3,605","5,266","4,503","1,931","2,701",,,,,,
Trading,Online,Standard Display,O2_SamsungDream_20170321_20170328_DIS_DRS_GBR_7566,,,,,,,,,0,"6,881","60,173","16,205","10,468",
Trading,Online,Standard Display,O2_Search1stParty2015_20150120_20200120_DIS_DRS_GB,,,,,,,,,,,,,,
Trading,Online,Standard Display,O2_TechPartnership_20170329_20180329_DIS_DRS_GBR_7,,,,,,,,,,,,5,10,
Brand,Online,VOD,6 Nations  VoD,,,,,,"37,500","18,750","43,750",,,,,,
brand,Online,VOD,Ethos VoD,,,,,,,,"5,400","16,734","24,559","24,559","24,559","24,559","24,559"
Brand,Online,VOD,Warchild VoD,,,,,"17,454","32,517",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,76195,927010,850033,734464,732428,694454,903451,1415337,1427449,1253855,1503068,1087590,619534,129285
