Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),Week Start,Date,Value
Trading,Offline,Press,SMB Simo,Mondays,13/03/2017,12549
Trading,Offline,Press,SMB Simo,Mondays,20/03/2017,10729
Trading,Offline,Press,SMB Simo,Mondays,27/03/2017,30103
Trading,Offline,Press,SMB Simo,Mondays,03/04/2017,10729
Trading,Offline,Press,Samsung A-Series Launch 06477,Mondays,23/01/2017,13408
Trading,Offline,Press,Samsung A-Series Launch 06477,Mondays,30/01/2017,92317
Trading,Offline,Press,Samsung A-Series Launch 06477,Mondays,06/02/2017,42038
Trading,Offline,Press,Samsung Dream Launch,Mondays,27/03/2017,47940
Trading,Offline,Press,Samsung Dream Launch,Mondays,03/04/2017,38022
Trading,Offline,Press,Samsung Dream Launch,Mondays,10/04/2017,46333
Trading,Offline,Press,Samsung Dream Launch,Mondays,17/04/2017,45940
Trading,Offline,Press,Sims Feb/ March,Mondays,30/01/2017,25547
Trading,Offline,Press,Sims Feb/ March,Mondays,06/02/2017,58764
Trading,Offline,Press,Sims Feb/ March,Mondays,13/02/2017,9119
Trading,Offline,Press,Sims Feb/ March,Mondays,06/03/2017,51753
Trading,Offline,Press,Sims Feb/ March,Mondays,13/03/2017,49793
Brand,Offline,TV,Ethos TV,Mondays,27/02/2017,351134
Brand,Offline,TV,Ethos TV,Mondays,06/03/2017,522216
Brand,Offline,TV,Ethos TV,Mondays,13/03/2017,453015
Brand,Offline,TV,Ethos TV,Mondays,20/03/2017,453015
Brand,Offline,TV,Ethos TV,Mondays,27/03/2017,453015
Brand,Offline,TV,Ethos TV,Mondays,03/04/2017,376124
Brand,Offline,TV,Ethos TV,Mondays,10/04/2017,136481
Trading,Offline,TV,Free Sim Feb,Mondays,30/01/2017,20253
Trading,Offline,TV,Free Sim Feb,Mondays,06/02/2017,54430
Trading,Offline,TV,Free Sim Feb,Mondays,13/02/2017,25316
Trading,Offline,TV,SIMO Feb,Mondays,13/02/2017,27586
Trading,Offline,TV,SIMO Feb,Mondays,20/02/2017,55172
Trading,Offline,TV,SIMO Feb,Mondays,27/02/2017,17241
Trading,Offline,TV,SIMO Jan,Mondays,23/01/2017,57931
Trading,Offline,TV,SIMO Jan,Mondays,30/01/2017,17931
Brand,Offline,TV,Warchild TV,Mondays,13/02/2017,88542
Brand,Offline,TV,Warchild TV,Mondays,20/02/2017,36458
Trading,Online,Affiliate,Accessories,Mondays,16/01/2017,3
Trading,Online,Affiliate,Accessories,Mondays,23/01/2017,22
Trading,Online,Affiliate,Accessories,Mondays,30/01/2017,27
Trading,Online,Affiliate,Accessories,Mondays,06/02/2017,21
Trading,Online,Affiliate,Accessories,Mondays,13/02/2017,26
Trading,Online,Affiliate,Accessories,Mondays,20/02/2017,50
Trading,Online,Affiliate,Accessories,Mondays,27/02/2017,15
Trading,Online,Affiliate,Accessories,Mondays,06/03/2017,19
Trading,Online,Affiliate,Accessories,Mondays,13/03/2017,41
Trading,Online,Affiliate,Accessories,Mondays,20/03/2017,216
Trading,Online,Affiliate,Accessories,Mondays,27/03/2017,50
Trading,Online,Affiliate,Accessories,Mondays,03/04/2017,84
Trading,Online,Affiliate,Car Wifi,Mondays,16/01/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,23/01/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,30/01/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,06/02/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,13/02/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,20/02/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,27/02/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,06/03/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,13/03/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,20/03/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,27/03/2017,0
Trading,Online,Affiliate,Car Wifi,Mondays,03/04/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,13/02/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,20/02/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,27/02/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,06/03/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,13/03/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,20/03/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,27/03/2017,0
Trading,Online,Affiliate,Iphone Upgrade,Mondays,03/04/2017,0
Trading,Online,Affiliate,Iphonepaym,Mondays,13/02/2017,948
Trading,Online,Affiliate,Iphonepaym,Mondays,20/02/2017,8551
Trading,Online,Affiliate,Iphonepaym,Mondays,27/02/2017,17951
Trading,Online,Affiliate,Iphonepaym,Mondays,06/03/2017,5262
Trading,Online,Affiliate,Iphonepaym,Mondays,13/03/2017,4665
Trading,Online,Affiliate,Iphonepaym,Mondays,20/03/2017,6803
Trading,Online,Affiliate,Iphonepaym,Mondays,27/03/2017,8916
Trading,Online,Affiliate,Iphonepaym,Mondays,03/04/2017,7524
Trading,Online,Affiliate,MBB (Dongles),Mondays,16/01/2017,1
Trading,Online,Affiliate,MBB (Dongles),Mondays,23/01/2017,8
Trading,Online,Affiliate,MBB (Dongles),Mondays,30/01/2017,12
Trading,Online,Affiliate,MBB (Dongles),Mondays,06/02/2017,0
Trading,Online,Affiliate,MBB (Dongles),Mondays,13/02/2017,1
Trading,Online,Affiliate,MBB (Dongles),Mondays,20/02/2017,6
Trading,Online,Affiliate,MBB (Dongles),Mondays,27/02/2017,0
Trading,Online,Affiliate,MBB (Dongles),Mondays,06/03/2017,1
Trading,Online,Affiliate,MBB (Dongles),Mondays,13/03/2017,6
Trading,Online,Affiliate,MBB (Dongles),Mondays,20/03/2017,2
Trading,Online,Affiliate,MBB (Dongles),Mondays,27/03/2017,12
Trading,Online,Affiliate,MBB (Dongles),Mondays,03/04/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,16/01/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,23/01/2017,3
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,30/01/2017,18
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,06/02/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,13/02/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,20/02/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,27/02/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,06/03/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,13/03/2017,6
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,20/03/2017,36
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,27/03/2017,0
Trading,Online,Affiliate,MBB Tablet sims (contract),Mondays,03/04/2017,0
Trading,Online,Affiliate,MBB Tablets,Mondays,16/01/2017,91
Trading,Online,Affiliate,MBB Tablets,Mondays,23/01/2017,671
Trading,Online,Affiliate,MBB Tablets,Mondays,30/01/2017,833
Trading,Online,Affiliate,MBB Tablets,Mondays,06/02/2017,544
Trading,Online,Affiliate,MBB Tablets,Mondays,13/02/2017,322
Trading,Online,Affiliate,MBB Tablets,Mondays,20/02/2017,371
Trading,Online,Affiliate,MBB Tablets,Mondays,27/02/2017,703
Trading,Online,Affiliate,MBB Tablets,Mondays,06/03/2017,864
Trading,Online,Affiliate,MBB Tablets,Mondays,13/03/2017,498
Trading,Online,Affiliate,MBB Tablets,Mondays,20/03/2017,724
Trading,Online,Affiliate,MBB Tablets,Mondays,27/03/2017,788
Trading,Online,Affiliate,MBB Tablets,Mondays,03/04/2017,696
Trading,Online,Affiliate,MBB Upgrades,Mondays,23/01/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,30/01/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,06/02/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,13/02/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,20/02/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,27/02/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,06/03/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,13/03/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,20/03/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,27/03/2017,0
Trading,Online,Affiliate,MBB Upgrades,Mondays,03/04/2017,0
Trading,Online,Affiliate,Recycle,Mondays,16/01/2017,146
Trading,Online,Affiliate,Recycle,Mondays,23/01/2017,969
Trading,Online,Affiliate,Recycle,Mondays,30/01/2017,619
Trading,Online,Affiliate,Recycle,Mondays,06/02/2017,418
Trading,Online,Affiliate,Recycle,Mondays,13/02/2017,351
Trading,Online,Affiliate,Recycle,Mondays,20/02/2017,264
Trading,Online,Affiliate,Recycle,Mondays,27/02/2017,215
Trading,Online,Affiliate,Recycle,Mondays,06/03/2017,252
Trading,Online,Affiliate,Recycle,Mondays,13/03/2017,290
Trading,Online,Affiliate,Recycle,Mondays,20/03/2017,260
Trading,Online,Affiliate,Recycle,Mondays,27/03/2017,226
Trading,Online,Affiliate,Recycle,Mondays,03/04/2017,204
Trading,Online,Affiliate,SIMO Upgrade,Mondays,23/01/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,30/01/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,06/02/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,13/02/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,20/02/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,27/02/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,06/03/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,13/03/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,20/03/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,27/03/2017,0
Trading,Online,Affiliate,SIMO Upgrade,Mondays,03/04/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,23/01/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,30/01/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,06/02/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,13/02/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,20/02/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,27/02/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,06/03/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,13/03/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,20/03/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,27/03/2017,0
Trading,Online,Affiliate,Traditional Upgrade,Mondays,03/04/2017,0
Trading,Online,Affiliate,Upgrades,Mondays,16/01/2017,0
Trading,Online,Affiliate,Upgrades,Mondays,23/01/2017,0
Trading,Online,Affiliate,Wearables,Mondays,16/01/2017,0
Trading,Online,Affiliate,Wearables,Mondays,23/01/2017,15
Trading,Online,Affiliate,Wearables,Mondays,30/01/2017,106
Trading,Online,Affiliate,Wearables,Mondays,06/02/2017,106
Trading,Online,Affiliate,Wearables,Mondays,13/02/2017,66
Trading,Online,Affiliate,Wearables,Mondays,20/02/2017,40
Trading,Online,Affiliate,Wearables,Mondays,27/02/2017,24
Trading,Online,Affiliate,Wearables,Mondays,06/03/2017,0
Trading,Online,Affiliate,Wearables,Mondays,13/03/2017,0
Trading,Online,Affiliate,Wearables,Mondays,20/03/2017,0
Trading,Online,Affiliate,Wearables,Mondays,27/03/2017,1
